,question,answer,customer,seller,time,tags
2147,Is this original..and is it loud enough?,Original with 1yr warranty,Evan R. - 1  year ago,JBL-Techwarez - answered within 13  hours,,"inquiry, specification inquiry"
2148,as in same sa JBL store? pano po warranty neto?,1year warranty,Bernadette T. - 1  year ago,JBL-Techwarez - answered within 4  weeks,,"backchannel, warranty inquiry, warranty inquiry"
2149,original ba?,Yes original jbl with 1yr warranty,Bernadette T. - 1  year ago,JBL-Techwarez - answered within 2  minutes,,inquiry (others)
2150,Is this original?,Yes original jbl with 1yr warranty,Kaybel M. - 1  year ago,JBL-Techwarez - answered within 7  hours,,inquiry (others)
2151,I ordered this and received a JBL T110BT. Can I go to your store in SM North EDSA to replace it?,Kindly call customer care,Von L. - 1  year ago,JBL-Techwarez - answered within 12  minutes,,"product complaint, return / exchange / refund"
2152,"Hi - we ordered this item and status last Nov. 27 says it has been shipped through LEX (Lazada Express). Unfortunately, 2 hours from now it’s already December 02 - would we know why it’s taking that long? It’s late for four days already. Please recommend :)",Please call customer care,Kimberly J. - 1  year ago,JBL-Techwarez - answered within 3  days,,"opening, delivery complaint, follow-up, expression, follow-up"
2153,"Hello, my order was supposed to be delivered yesterday but I haven’t reveived any. The lbc express tracking system said there was a shipment issue right after it showed that O need to expect a delivery within the day. I would like to follow-up my order. Thanks",Please call customer care,Carmel J. - 1  year ago,JBL-Techwarez - answered within 1  day,,"opening, follow-up, thanking, delivery complaint"
2154,"Hi, I just bought my Clip 2 last month and unfortunately, the carabineer was removed from the speaker. May I know if we can have a carabineer mount replacement for my JBL? Thanks!",Please contact customer care,Zherrouine R. - 1  year ago,JBL-Techwarez - answered within 4  weeks,,"opening, inquiry (others), thanking"
2155,"Hi, bought my Clip 2 almost 3 weeks ago then natanggal yung carabineer and need ng carabineer mount replacement. San ko po kaya pwede ipaayos ito? Allowed po ba sa any JBL stores?",Please contact customer care,Zherrouine R. - 1  year ago,JBL-Techwarez - answered within 3  weeks,,"opening, inquiry (others), other"
2156,Kailan po ba eto mag sale ulit? Sana mag aale this december perfect gift for my self.,Next big sale is on 12.12 (december 12),christian j. - 1  year ago,JBL-Techwarez - answered within 23  hours,,promo inquiry
2157,Ask q lng mag 2months pa lng sakin ung clip2 pag alis ko sa pinag sabiyan q naalis ung clip nya ... kaht anong branch b ng jbl pde ko ba dalin to? Underwaranty pa,Please contact Lazada customer care,Nicolai - 1  year ago,JBL-Techwarez - answered within 1  day,,"product complaint, warranty inquiry, inquiry"
2158,Pwede po ba to pang call?,Yes meron pong built in speaker phone,christian j. - 1  year ago,JBL-Techwarez - answered within 17  hours,,specification inquiry
2159,I just got the speaker it wont charge can i have a replacement?,Please call customer care to facilitate replacement thanks,Joshua G. - 1  year ago,JBL-Techwarez - answered within 1  hour,,"product complaint, return / exchange / refund"
2160,"I just got the speaker but it turns out it wont charge, the moment i unpack it i tried to turn it on to check but it wont turn on so i thought the speaker is low batt but when i charge it, it wont charge the LED that indicates charging is off. Need a replacement please",Please call customer care to facilitate replacement thanks,Joshua G. - 1  year ago,JBL-Techwarez - answered within 8  minutes,,"product complaint, return / exchange / refund"
2161,Is this legit/original? :),HI Yes original with 1yr warranty,Anne C. - 1  year ago,JBL-Techwarez - answered within 9  hours,,"inquiry, expression"
2162,May color red po?,Black lang po available,chat e. - 1  year ago,JBL-Techwarez - answered within 16  hours,,availability inquiry
2163,"Alin po mas malakas at mas clear ang sounds
sakanila ng JBL go?",Mas malakas ng konti itong sa clip2. waterproof na din po,chat e. - 1  year ago,JBL-Techwarez - answered within 1  hour,,product recommendation request
2164,What if there is a problem with the item can we return it to you and change it with other unit?..,Item comes with 1yr warranty,Ervin T. - 1  year ago,JBL-Techwarez - answered within 12  hours,,inquiry (others)
2165,"Hi sir/ maam..
I just want to ask if the item is original or legit before ordering it..
Thanks..",Yes 100% original with 1yr warranty,Ervin T. - 1  year ago,JBL-Techwarez - answered within 7  hours,,"opening, inquiry (others), thanking"
2166,Is this really the original one? I just want to be sure.,Original with 1yr warranty,Jaykie M. - 1  year ago,JBL-Techwarez - answered within 15  hours,,"inquiry, clarification"
2167,hi is that original? because im planning to buy later,Original with 1yr warranty,jason r. - 1  year ago,JBL-Techwarez - answered within 16  hours,,"opening, inquiry (others), inquiry"
2168,Hi! If I order today when will be the ETA? Going here in Tacloban? Thanks,Estimated shipping date is shown before checking out,Jaykie M. - 1  year ago,JBL-Techwarez - answered within 2  hours,,"opening, delivery inquiry, thanking"
2169,Hi is this still available? I’m really interested to buy one now.,HI yes available,Carmel J. - 1  year ago,JBL-Techwarez - answered within 13  hours,,"opening, availability inquiry"
2170,"Hello. I ordered 1 item of this product. Based on the LBC tracking, it was shipped to Davao on November 13, but until now it is still being shipped to Davao. Not yet arrived. Can you please follow-up this item?",For shipping concerns please contact Lazada customer care,Amado A. - 1  year ago,JBL-Techwarez - answered within 4  days,,"opening, delivery complaint, follow-up, follow-up"
2171,Twice na po ako nag follow ng order until now wala pa po?,For shipping concerns please contact Lazada customer care,mel p. - 1  year ago,JBL-Techwarez - answered within 5  days,,follow-up
2172,Twice na po ako nag follow-up ng order ko pero until now wala po ung order ko:(,For shipping concerns please contact Lazada customer care,mel p. - 1  year ago,JBL-Techwarez - answered within 5  days,,follow-up
2173,Ilang year po warranty nito?,1year warranty po,Marlon B. - 1  year ago,JBL-Techwarez - answered within 11  hours,,warranty inquiry
2174,"Di ko pa narereceive yung order until now, I placed the order last Nov. 9 wala man lang akong update I already pay for the product.",Please follow-up with LAzada customer care,Echo O. - 1  year ago,JBL-Techwarez - answered within 38  minutes,,delivery complaint
2175,meron po bang ibang type ng jbl na meron available s inyo? thanks jbl charge 2,Charge 2 is already phased out.,Maria A. - 1  year ago,JBL-Techwarez - answered within 1  day,,availability inquiry
2176,"Hi! Just got my clip 2 today. Before the unboxing, i checked the box. It was properly sealed no sign it was tampered or opened. I’m happy it’s authentic and all but mine don’t come with a Micro USB Cable. So how do i get my Micro USB cable? Tnx.",Kindly message us at our facebook page . Techwarez Computer Center,Pj H. - 1  year ago,JBL-Techwarez - answered within 19  hours,,"opening, process inquiry, thanking, delivery complaint"
2177,"Hi! Just got mine today. Before unboxing, i checked the box it was properly sealed, no sign it was tampered or had been opened. Product is working fine so far. It’s obviously authentic.  My only problem is it doesn’t come with a Micro USB cable. How can i get the cable tho?",Please reach out to us at our facebook page. Techwarez Computer center,Pj H. - 1  year ago,JBL-Techwarez - answered within 18  hours,,"opening, other, process inquiry"
2178,waterproof po ba talaga 2?,HI yes it is,Akeem J. - 1  year ago,JBL-Techwarez - answered within 17  hours,,specification inquiry
2179,"Hello. I ordered this last Nov.11 and 'till now, processing parin status nya. When can it be shipped po ba? Thank you.",Please follow-up with Lazada customer care,Abbie B. - 1  year ago,JBL-Techwarez - answered within 23  hours,,"opening, delivery complaint, thanking, follow-up"
2180,"Kelan sale gusto tlaga e2  f ever ung ibang brand hndi sila mag sale??? 
Pls. Inform us
I am music lover
Quality sounds",Last sale was 11/11 during the online revolution,Dennis H. - 1  year ago,JBL-Techwarez - answered within 1  day,,promo inquiry
2181,"Hello po. I ordered last night and I received the item today around 1pm. So far, the product is working fine but the following are missing inside the box:
1 x Quick Start Guide
1 x Safety Sheet
1 x Warranty Card

I especially want the warranty card. Can you help me with this? Thank you.","Warranty card is our sales invoice. Quick start guide/safety sheet is the small piece of paper inside the box, at the bottom part.",Chenelyn C. - 1  year ago,JBL-Techwarez - answered within 2  days,,"opening, product complaint, request, thanking"
2182,Hi magkakastock pa po ba kau ng jbl go?,Yes magkakaron pa po.,Mark R. - 1  year ago,JBL-Techwarez - answered within 1  day,,"opening, availability inquiry"
2183,hello po. i place an order na po. please do check the items before shipping po ah.. i will order 5 more if ok po yung unit. buy and sell po kasi ako. thanks,"Items are packed sealed. not unless you want us to break the seals to ""check"" the item.",Karen J. - 1  year ago,JBL-Techwarez - answered within 1  day,,"opening, purchase, request, thanking"
2184,Will it be compatible for iphone7 plus?,Hi yes compatible via bluetooth,Aileen M. - 1  year ago,JBL-Techwarez - answered within 1  day,,specification inquiry
2185,The discounted rate is over. Do you have upcoming promotional discounts?,Promotion is done already. Balik balik nalang po kayo,Carlo H. - 1  year ago,JBL-Techwarez - answered within 8  hours,,promo inquiry
2186,pwde mo ba ibalik yung price ng 1899? Ma order ko ngayon,Promotion is done already,Rod G. - 1  year ago,JBL-Techwarez - answered within 4  hours,,promo inquiry
2187,"Hi, i recived my jbl clip last month and then it stopped working yesterday, how can i return/avail my 1year warranty?",Please call Lazada customer care,Jessie A. - 1  year ago,JBL-Techwarez - answered within 1  day,,"specification inquiry, product complaint"
2188,Is this still available?,Hi yes it is,Robby I. - 1  year ago,JBL-Techwarez - answered within 1  day,,availability inquiry
2189,Hi. I ordered another jbl clip 2. I hope this time the product will be delivered properly. Thank you.  Pls make sure the item is inside the box. Thank you,package is sealed. most probably stolen case from what you experienced before,Robby I. - 1  year ago,JBL-Techwarez - answered within 1  day,,"opening, other, thanking"
2190,"Hi. I ordered another jbl clip 2. I just hope this time, the product will be delivered properly. Thank you",package is sealed. most probably stolen case from what you experienced before,Robby I. - 1  year ago,JBL-Techwarez - answered within 1  day,,"opening, other, thanking"
2191,Wala na po bang available na ibang color?,Wala na po,Leo L. - 1  year ago,JBL-Techwarez - answered within 1  day,,availability inquiry
2192,Color red po meron,Black lang po meron,Allan R. - 1  year ago,JBL-Techwarez - answered within 24  hours,,availability inquiry
2193,Color po red meron po,Black lang po meron,Allan R. - 1  year ago,JBL-Techwarez - answered within 24  hours,,availability inquiry
2194,May iba po kulay,Black lang po available,Allan R. - 1  year ago,JBL-Techwarez - answered within 22  hours,,availability inquiry
2195,Order na ako sana ok medyo mura na,Thank you po,Junell T. - 1  year ago,JBL-Techwarez - answered within 18  hours,,purchase
2196,Hi! May i know if this is an authentic JBL clip 2? Thank you,Original with 1yr warranty,Diane J. - 1  year ago,JBL-Techwarez - answered within 14  hours,,"opening, inquiry (others), thanking"
2197,Is this authentic jbl clip 2?,Original with 1yr warranty,Vincent D. - 1  year ago,JBL-Techwarez - answered within 10  hours,,inquiry (others)
2198,mas maganda kaya bass nitong clip kesa dun sa JBL Go ?,This has better sound quality than Jbl go,Sheh - 1  year ago,JBL-Techwarez - answered within 3  hours,,definition inquiry
2199,Original po ito or fake?,Original with 1yr warranty,Rod G. - 1  year ago,JBL-Techwarez - answered within 9  hours,,inquiry (others)
2200,Mag less pa ito ngayong 11.11?,Nakaless na po ngayon,Rhegie m. - 1  year ago,JBL-Techwarez - answered within 21  hours,,promo inquiry
2201,Can I test the gadget before giving the payment for COD?,Hi hindi po,Roger P. - 1  year ago,JBL-Techwarez - answered within 4  hours,,inquiry (others)
2202,Is this legit? Planning to place an order right now.,Original with 1yr warranty,Kendrix L. - 1  year ago,JBL-Techwarez - answered within 5  hours,,inquiry (others)
2203,Does this have a warranty?,Yes 1yr warranty,rovy k. - 1  year ago,JBL-Techwarez - answered within 1  day,,warranty inquiry
2204,"Bakit hinahaluan ninyo ng fake na jbl? Nililito nyo mga online buyer niyan.
",We sell 100% original jbl products. Thank you.,Danilo F. - 1  year ago,JBL-Techwarez - answered within 6  minutes,,"inquiry, other"
2205,maximum uptime po? ilang mAh ang battery?,upto 4 hours of use,Bonnie L. - 1  year ago,JBL-Techwarez - answered within 1  week,,specification inquiry
2206,Can you deliver it in my workplace? In Burger King Petron NLEX?,Just indicate this on your shipping address,Charles C. - 1  year ago,JBL-Techwarez - answered within 6  days,,delivery inquiry
2207,hi po.. i received my order. kaso po sira yong connector ng speaker ko.. i cant charge.. ok nman po yong speaker yong connector lang talaga..walang led light pag iconnect ko.,Please call Lazada customer care,Rhea K. - 1  year ago,JBL-Techwarez - answered within 1  day,,"opening, product complaint"
2208,paano po ito? sira po yong cable ng jbl ko.. hindi po nag chacharge.. wlang led light.. nagtry ko charge yong cable sa cp.. wla rin.. sira talaga,Please call Lazada customer care,Rhea K. - 1  year ago,JBL-Techwarez - answered within 21  hours,,"process inquiry, product complaint"
2209,ano ba yong email address ng lazada? sira po kasi yong connector ng jbl clip 2 na nbili ko..,Kindly go to the CONTACT US link at the bottom of the lazada webpage,Rhea K. - 1  year ago,JBL-Techwarez - answered within 44  minutes,,"contact details inquiry, product complaint"
2210,I havent received my order .,For shipping concerns please call Lazada customer care,Christina S. - 1  year ago,JBL-Techwarez - answered within 7  minutes,,delivery complaint
2211,"This was at 1,9Kplus just last night. How come the price went up to 2,299 overnight? I was about to order it today when I noticed the price. When will it be back to 1,9K plus?",Promotion ended yesterday.,Daryl P. - 1  year ago,JBL-Techwarez - answered within 3  hours,,"price inquiry, price complaint"
2212,Until when is the discounted price?,Offer good while supplies last,Darlene D. - 1  year ago,JBL-Techwarez - answered within 9  hours,,promo inquiry
2213,Hi. Just would like to follow-up on my replacement item. Its been 3 weeks and i keep on following it up on Lazada but still with no updates. Can you please follow it up? Thanks,Please call Lazada customer care,Robby I. - 1  year ago,JBL-Techwarez - answered within 6  hours,,"opening, follow-up, thanking, follow-up"
2214,Pwd ba ito ipaired sa jbl flip 3?,Hi Hindi po,Ian H. - 1  year ago,JBL-Techwarez - answered within 4  hours,,specification inquiry
2215,Original jbl speaker??,Yes original with 1yr warranty,Beatriz S. - 1  year ago,JBL-Techwarez - answered within 2  days,,inquiry (others)
2216,Alin b ung daisy chain button yun ba ung mY bluetooth icon? Sa speaker,"You can wirelessly connect two Clip 2 speakers together to enjoy amplified sound.
Two Clip 2's can be paired together to amplify sound by holding the Bluetooth button on each speaker for five seconds",Kevin D. - 1  year ago,JBL-Techwarez - answered within 1  day,,definition inquiry
2217,"Pwede b ito iconnect sa another jbl clip 2?
Paano?",Yes you can.,Kevin D. - 1  year ago,JBL-Techwarez - answered within 21  hours,,"specification inquiry, process inquiry"
2218,Other colors?,For now we only have Black,Denise O. - 1  year ago,JBL-Techwarez - answered within 18  hours,,availability inquiry
2219,But will my item be replaced?,Kindly call Lazada customer care for this,Robby I. - 1  year ago,JBL-Techwarez - answered within 56  seconds,,inquiry (others)
2220,"Ordered this last sept 23, it arrived sept 25. When i opened the plastic of lazada, found an empty box of jbl clip 2. Returned the box immediately via lbc. Kindly please replace my item. When can this be resolved? Thanks",Kindly call Lazada customer care. Most probably a theft case during shipping stage,Robby I. - 1  year ago,JBL-Techwarez - answered within 45  minutes,,"request, return / exchange / refund, product complaint, thanking"
2221,Is this the Original JBL Clip 2 Bluetooth Speaker or just Class A or a Premium Copy?,100% original with 1yr warranty,Peter D. - 1  year ago,JBL-Techwarez - answered within 11  minutes,,inquiry (others)
2222,"Hi.. pwede pkba magtanong. Nag order ko jbl clil 2 last sept. 9,2017. Then expectation date for delivery sis sept. 15-19. Bkit hanggang ngayon wla pa rin ang order ko. Darating pa ba ito o hindi na?
","For shipping concerns, Kindly contact Lazada customer care",Nielbert D. - 1  year ago,JBL-Techwarez - answered within 17  minutes,,"opening, delivery complaint"
2223,hi kailangan pa bang i-update using jbl connect?.thanks,This model does not use JBL connect but has the wireless daisy chain function which will only work with other Clip2s,Victor F. - 1  year ago,JBL-Techwarez - answered within 1  day,,"opening, specification inquiry, thanking"
2224,Is this authentic?,Yes original with 1yr warranty,Meriam Q. - 1  year ago,JBL-Techwarez - answered within 6  hours,,inquiry (others)
2225,What does water resistant mean ?? Can it go under water or just get a little wet if next to water ?,Yes you can get this wet but NOT submerged in water for a long duration.,Matt N. - 1  year ago,JBL-Techwarez - answered within 3  days,,definition inquiry
2226,Hi seller. Nabasa ko sa comments na you provide 1 year warranty. Item replacement ba sya or service repair lang? And paano magcclaim ng warranty if ever magkaproblema?,"HI yes po 1yr warranty. This model is always replaced in case defective. To claim warranty, you will need to forward the item itself, and proof of purchase (sales invoice we issues). Either via walk in or via courier. For courier rma claims, will need prior coordination so we can anticipate shipment. Thanks",Ron V. - 1  year ago,JBL-Techwarez - answered within 23  minutes,,"warranty inquiry, process inquiry, opening, warranty inquiry"
2227,kailan pa po maging 1000+ to? hehehe.. out of budget na kasi ako. madami na akong na purchase for this month..hahaha.. maghintay na lang ako. baka ma flash sale to hehehe ^^,Antay antay nalang po kayo pero malabo po hehe mababa na po presyo as it is,Rhea K. - 1  year ago,JBL-Techwarez - answered within 5  days,,promo inquiry
2228,Legit check po?,Original with 1yr warranty,Zaldy R. - 1  year ago,JBL-Techwarez - answered within 11  hours,,inquiry (others)
2229,"Hi..bakit po nakalagay sa order ko ay closed na and for refund? Ang nakalagay naman sa tracking number, nasa lazada warehouse. Ano po ba talaga?thanks",Kindly check with Lazada customer care,Benedick M. - 1  year ago,JBL-Techwarez - answered within 5  hours,,"opening, inquiry (others), thanking"
2230,"Please make sure na ok ang item na binebenta niyo. Yung napurchase ko na JBL Clip 2 ay defective po, no audio. Nareturn ko na. Nakakadismaya.",Item arrived to you SEALED. No way of avoiding for the 1% of cases like this.,Jose M. - 1  year ago,JBL-Techwarez - answered within 12  hours,,"service complaint, product complaint"
2231,"hello, pwede po ito lagyan ng sd card? tnx for the reply.. god bless",hi hindi po. audio inputs are from aux cable or bluetooth only,Rhea K. - 1  year ago,JBL-Techwarez - answered within 40  minutes,,"opening, specification inquiry. thanking, specification inquiry, thanking"
2232,Excuse me po paano po ba icancel tong order ko nito binigyan kasi ako ng gf ko sinurprise nya ko sana masagot po agad thank you,Please contact Lazada customer care,Balong L. - 1  year ago,JBL-Techwarez - answered within 13  hours,,"process inquiry, thanking, other"
2233,I just ordered this item last night kailan po ba yung expected arrival niya?,Shipping estimate is shown before checking out.,Balong L. - 1  year ago,JBL-Techwarez - answered within 1  day,,delivery inquiry
2234,Kahit ba sa mall usb cable lang talaga?,Yes usb cable lang talaga ang kasama,James - 1  year ago,JBL-Techwarez - answered within 10  hours,,specification inquiry
2235,Wala po ba talagang kasamang adaptor yung pang charge?,Yes wala po. You can use your cellphone's or PC's usb adaptor to charge,James - 1  year ago,JBL-Techwarez - answered within 10  hours,,specification inquiry
2236,Black lang po ang available color? Yung warranty po ba kasama sa pag ship ng item?,For now black only. Sales invoice enclosed in pouch together with item,Ria M. - 1  year ago,JBL-Techwarez - answered within 13  minutes,,"availability inquiry, warranty inquiry"
2237,Authentic po? Hindi po to oem? Kasi nagtanong po ako sa Jbl store mismo P3100 po yung price nila. Bakit sainyo po ang mura?,Yes original with 1 yr warranty. Discounted offer namin ito. Srp is 3199,Ria M. - 1  year ago,JBL-Techwarez - answered within 4  minutes,,"inquiry, price inquiry"
2238,is this original JBL product,Yes it is with 1yr warranty,Nehett E. - 1  year ago,JBL-Techwarez - answered within 18  minutes,,inquiry (others)
2239,Ilang days po ba bago dumating yong inorder ko na ganito?,Shipping estimate is shown before checking out,Balong L. - 1  year ago,JBL-Techwarez - answered within 3  hours,,delivery inquiry
2240,may receipt po ba for the warranty??,Hi yes our sales invoice is enclosed in the pouch with the item,Amy P. - 1  year ago,JBL-Techwarez - answered within 19  hours,,warranty inquiry
2241,"tanong ko lang san kung napapalitan ba ang battery?
",Battery is built in,Elna P. - 1  year ago,JBL-Techwarez - answered within 1  day,,"inquiry, specification inquiry"
2242,Hello do you have other color option? Thanks,For now only black,Jessa N. - 1  year ago,JBL-Techwarez - answered within 1  day,,"opening, availability inquiry, thanking"
2243,is this original?,Hi yes it is with 1yr warranty also,Sarah D. - 1  year ago,JBL-Techwarez - answered within 17  minutes,,inquiry (others)
2244,return it if its defective.its free shipping at lbc.do not try to service it yourself in case you attempt to do so.,That is correct,Nathaniel A. - 1  year ago,JBL-Techwarez - answered within 3  hours,,inquiry (others)
2245,Hi. Kakabili ko lang sa inyo nito. Wala pang 24 hours bakit parang sira ata. Right now nagttroubleshoot ako. No audio. Pero naka on ang bluetooth ko. Saka i tried using 3.5 jack wala pa rin audio. Paano po gagawin ko dito? Mapapalitan po ba ninyo agad to?,"Kindly contact LAzada customer care. Alternatively , try unpairing , restart your phone, then pair again. Thanks",Jose M. - 1  year ago,JBL-Techwarez - answered within 12  minutes,,"opening, product complaint, return / exchange / refund, process inquiry"
2246,Hello I ordered last Aug. 31 and still haven't received my speakers. Any updates po on my order? May pagbibigyan lang kasi ako on Sept. 7. Thanks.,For shipping concerns kindly follow-up with Lazada customer care,Princess A. - 1  year ago,JBL-Techwarez - answered within 3  days,,"opening, delivery complaint, thanking, follow-up"
2247,Orig?,Original with 1yr warranty,Yanyan M. - 1  year ago,JBL-Techwarez - answered within 11  hours,,inquiry (others)
2248,my audio cable din bng nakakabit sa item?,Yup meron po nasa likod,Elna P. - 1  year ago,JBL-Techwarez - answered within 19  hours,,specification inquiry
2249,Is this make from China? Or which country?,"As with most electronics, manufactured in China. Rest assured JBL has strict QA controls in place",Yolly B. - 1  year ago,JBL-Techwarez - answered within 1  day,,inquiry (others)
2250,Where is this make?,I do not understand your inquiry (others),Yolly B. - 1  year ago,JBL-Techwarez - answered within 10  hours,,inquiry (others)
2251,Is this fake?,No. This is original with 1yr warranty,Yanyan M. - 1  year ago,JBL-Techwarez - answered within 7  hours,,inquiry (others)
2252,Hi can you arrange an earlier delivery?,For shipping kindly contact Lazada customer care,Ging T. - 1  year ago,JBL-Techwarez - answered within 11  hours,,"opening, delivery inquiry"
2253,Hindi ba fake ung mga jbl flip3 worth 3k,We are not in a position to answer that po,Ravenal M. - 1  year ago,JBL-Techwarez - answered within 2  minutes,,inquiry (others)
2254,Bakit merong  jnl flip3 3k lang ung iba 4plus,Hindi po namin masasagot yun. Ask nyo nalang po dun sa sellers nung mga nakita ninyo,Ravenal M. - 1  year ago,JBL-Techwarez - answered within 4  minutes,,"availability inquiry, price inquiry"
2255,"Good day lazada..ask lang po..anong pinagkaiba nang clip2 sa ibang colors but same specs pero hindi pareho ang price?..like this one na black nasa 2,399 at same black din na 2,599????..before I purchase sana which one tlga... thanks sa sagot",HI Our items are always offered at bottom prices. Clip2 comes in many color / design variants. Ours is just black.,Mark A. - 1  year ago,JBL-Techwarez - answered within 4  hours,,"definition inquiry, opening"
2256,"Good day lazada..ask lang po..anong pinagkaiba nang clip2 sa ibang colors but same specs pero hindi pareho ang price?..like this one na black nasa 2,399 at same black din na 2,599????..before I purchase sana which one tlga... thanks sa sagot",HI Already replied to this,Mark A. - 1  year ago,JBL-Techwarez - answered within 4  hours,,"definition inquiry, opening"
2257,Pwde ba to SD card kung mag play ng music?,Hi this does not have sd card slot. Audio sources are bluetooth or aux in only,Divine S. - 1  year ago,JBL-Techwarez - answered within 13  minutes,,specification inquiry
2258,Magkano po kaya siya pag cash on delivery? Pag dito sa cavite city?,"Price reflected is the actual price na po. . In the top right section on the page of a product, if there is an indication “Cash on Delivery is available”, you can purchase this product with COD.”
",James O. - 1  year ago,JBL-Techwarez - answered within 15  minutes,,price inquiry
2259,Bago po ba ito hindi mga second hand? Sorry po kung medyo weird ang tanong ko bago palang po kasi ako nagshoshop sa lazada.,HI Yes brand new with 1yr warranty,James O. - 1  year ago,JBL-Techwarez - answered within 59  seconds,,"inquiry, other"
2260,Sir meron po ba kayo camo color nito?,Hi wala po. Only black right now,Jhonard J. - 1  year ago,JBL-Techwarez - answered within 12  hours,,availability inquiry
2261,Original po ba?,Hi yes original with 1yr warranty,Rochelle E. - 1  year ago,JBL-Techwarez - answered within 13  hours,,inquiry (others)
2262,"Sir/mam ask lng legit po ba to?kaka order ko lng Kasi nito kahapon,ngaun Ang dami Kong negative comment Na nakita regarding Kay Lazada..Gusto Na Kasi ito ipa cancel Kasi natatakot lng ako Na Baka ma peke ako","Yes original with 1yr warranty. Wala pong negative comments yung listing namin, baka iba yung tinitingnan ninyo. Thanks",Mark P. - 1  year ago,JBL-Techwarez - answered within 11  minutes,,"opening, inquiry (others), other, expression"
2263,Is this product included in the additional 15 days for sea freight? Thanks,Kindly contact lazada cusomer care,Geric E. - 1  year ago,JBL-Techwarez - answered within 4  days,,"delivery inquiry, thanking, promo inquiry"
2264,Bakit po iba iba yung price ng clip 2 dito sa lazada?,We and Lazada work hand in hand to offer bottom prices. Cannot answer for the other sellers. Thanks,Joshua - 1  year ago,JBL-Techwarez - answered within 25  minutes,,price inquiry
2265,Can this survive a compression in an outdoor bag? Im planning to put it inside so it can't be stolen,"The speaker is sturdy although if inside a bag, i dont thinj you would maximize the sound quality because the output would be constricted",Rusti C. - 1  year ago,JBL-Techwarez - answered within 9  hours,,specification inquiry
2266,where can i claim the warranty? mnie is not connecting to Apple phone bluetooth device. best. Eric,"To troubleshoot, restart your phone, then pair again. Thanks",Eric S. - 1  year ago,JBL-Techwarez - answered within 22  hours,,warranty inquiry
2267,Is this original ? Just to be sure,Yes original with 1yr warranty,Kent S. - 1  year ago,JBL-Techwarez - answered within 3  minutes,,"inquiry, clarification"
2268,meron po kyo color blue,Black only po.,Patrick J. - 1  year ago,JBL-Techwarez - answered within 4  minutes,,availability inquiry
2269,original clip 2?,Original with 1yr warranty,Patrick J. - 1  year ago,JBL-Techwarez - answered within 4  minutes,,inquiry (others)
2270,Goodmorning. May microphone built in po ba to??,Hi yes meron po,Mark L. - 1  year ago,JBL-Techwarez - answered within 7  minutes,,"opening, specification inquiry, specification inquiry"
2271,still processing for shipping. hays,"Hi, Good day! we will ship it out asap. thanks",Karl L. - 1  month ago,JBL - answered within 7  hours,,delivery complaint
2272,"Hello, will you be restocking for the 12.12 sale or no?","Hi Mam, Good day! item is now available. thanks",Madiel D. - 2  months ago,JBL - answered within 20  hours,,"opening, availability inquiry"
2273,Hi. Is this free shipping during 12.12 sale?,"Hi Sir, Good day! Please stay tuned. thank you.",Mar K. - 2  months ago,JBL - answered within 6  hours,,"opening, promo inquiry"
2274,help naman po. bakit po cruzer na usb ang naipadala sakin instead yung earphones? nagpm po ako. pls reply asap.,"Hi Sir Vince, Good day! please chat lazada also, they can help you to investigate your concern. thanks",Vince C. - 2  months ago,JBL - answered within 6  days,,"product complaint, delivery complaint"
2275,11.11 ko po ito inorder.,"Hi Sir, Good day! Apologies on this, please chat lazada as their the one processing orders. thank you.",John L. - 2  months ago,JBL - answered within 11  hours,,delivery complaint
2276,bakit nacancel yung order ko?? 😓😩 may nagtext na sa akin na idedeliver na tpos pagcheck ko ulit biglang parcel returned??? failure to deliver??? hay nako...,"Hi Sir, Good day! Apologies on this, please chat lazada as their the one processing orders. thank you.",John L. - 2  months ago,JBL - answered within 11  hours,,"delivery complaint, delivery complaint"
2277,kilan po ma dedeliver ung order ko.sunday p po un hanggang ngayon processing p din,"Hi, Good day! apologies for the delay it may caused. we will coordinate all pending orders from 11.11 to lazada. thank you",Raymond G. - 2  months ago,JBL - answered within 6  days,,"delivery complaint, delivery complaint"
2278,My order placed last 11/11 did not yet arrive? Available pa ba?,"Hi Mam, Good day! apologies for the delay it may caused. we will coordinate all pending orders from 11.11 to lazada. thank you",Mica V. - 2  months ago,JBL - answered within 3  days,,"delivery complaint, availability inquiry"
2279,Mag 2 weeks na wala pa din order ko. baka naman?,"Hi Mam, Good day! apologies for the delay it may caused. we will coordinate all pending orders from 11.11 to lazada. thank you",Elena M. - 2  months ago,JBL - answered within 3  days,,delivery complaint
2280,compatible po ba to sa Huawei nova 3i?,"Hi, Good day! compatible to IOS and android device. thanks",kyle V. - 3  months ago,JBL - answered within 12  hours,,specification inquiry
2281,compatible po ba to sa s7 edge?,"Hi Mam, good day! Yes, it's compatible. thank you",Jeanine P. - 3  months ago,JBL - answered within 17  hours,,specification inquiry
2282,compatible po b to sa iphone6??,"Hi Mam/Sir, Good day! Yes, compatible. thanks",celeste b. - 3  months ago,JBL - answered within 3  days,,specification inquiry
2283,legit sir?,"Hi, Yes 100% original and legit. thanks",sherwin g. - 4  months ago,JBL - answered within 1  week,,inquiry (others)
2284,Hi! Please restock black & rose gold.,"Hi Mam, Good day! noted, please keep posted. thanks",Lorraine G. - 4  months ago,JBL - answered within 1  week,,"opening, request"
